                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.274,                 1.9096,                 1.7377,                0.61859,                 0.5154,                 0.5701,                0.36752,                  1.292,                 1.5534,                 1.7432,             0.00083665,             0.00083665,             0.00083665
                     35,                 1.2667,                 1.8964,                 1.7295,                0.60144,                0.53188,                0.57283,                0.37108,                  1.285,                 1.5412,                 1.7362,              0.0008317,              0.0008317,              0.0008317
                     36,                 1.2607,                 1.8771,                 1.7184,                0.63988,                0.51138,                0.57863,                0.37679,                 1.2777,                  1.524,                 1.7286,             0.00082675,             0.00082675,             0.00082675
                     37,                 1.2575,                 1.8499,                 1.7144,                0.65332,                0.50675,                0.58211,                0.37849,                 1.2728,                 1.5126,                 1.7221,              0.0008218,              0.0008218,              0.0008218
                     38,                 1.2497,                 1.8448,                 1.7101,                0.64111,                0.52478,                 0.5892,                 0.3835,                 1.2698,                 1.4972,                 1.7164,             0.00081685,             0.00081685,             0.00081685
                     39,                 1.2415,                 1.8282,                  1.699,                0.64886,                 0.5257,                 0.5927,                0.38747,                 1.2656,                 1.4876,                 1.7107,              0.0008119,              0.0008119,              0.0008119
                     40,                 1.2386,                 1.8177,                 1.6954,                0.63765,                0.53578,                0.59543,                0.38952,                 1.2634,                 1.4778,                 1.7079,             0.00080695,             0.00080695,             0.00080695
                     41,                 1.2317,                 1.8014,                 1.6893,                0.64483,                0.53893,                0.59989,                0.39196,                 1.2601,                 1.4671,                 1.7028,               0.000802,               0.000802,               0.000802
                     42,                 1.2293,                 1.7994,                 1.6861,                0.64585,                0.54223,                 0.6038,                0.39511,                 1.2542,                 1.4598,                 1.6981,             0.00079705,             0.00079705,             0.00079705
                     43,                  1.224,                 1.7857,                 1.6811,                0.66242,                0.53757,                0.60558,                0.39846,                 1.2504,                 1.4523,                 1.6938,              0.0007921,              0.0007921,              0.0007921
                     44,                 1.2158,                 1.7588,                 1.6754,                0.64094,                0.54234,                0.60845,                0.40132,                  1.247,                 1.4441,                 1.6902,             0.00078715,             0.00078715,             0.00078715
