                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    145,                0.99591,                 1.2126,                 1.4562,                0.71024,                0.65536,                 0.7182,                0.49852,                 1.1295,                 1.1627,                 1.5535,              0.0002872,              0.0002872,              0.0002872
                    146,                0.98907,                 1.2062,                 1.4511,                0.71343,                0.65449,                0.71879,                0.49935,                 1.1291,                  1.161,                 1.5529,             0.00028225,             0.00028225,             0.00028225
                    147,                0.98845,                 1.2036,                 1.4505,                0.71899,                0.65102,                0.71887,                0.50016,                 1.1285,                 1.1595,                 1.5525,              0.0002773,              0.0002773,              0.0002773
                    148,                0.98445,                 1.1954,                 1.4446,                0.72356,                0.64864,                 0.7195,                0.50057,                 1.1282,                 1.1583,                 1.5521,             0.00027235,             0.00027235,             0.00027235
                    149,                0.98863,                 1.1937,                 1.4509,                0.72461,                0.64805,                0.71983,                0.50132,                 1.1282,                 1.1567,                 1.5518,              0.0002674,              0.0002674,              0.0002674
                    150,                 0.9873,                 1.1944,                 1.4471,                0.73016,                 0.6448,                0.72106,                0.50171,                 1.1281,                 1.1554,                 1.5514,             0.00026245,             0.00026245,             0.00026245
                    151,                0.98803,                 1.1922,                 1.4508,                0.73006,                0.64608,                0.72171,                0.50197,                 1.1276,                 1.1537,                 1.5507,              0.0002575,              0.0002575,              0.0002575
                    152,                0.98465,                 1.1907,                 1.4464,                0.73056,                0.64624,                0.72223,                0.50227,                 1.1274,                 1.1523,                 1.5502,             0.00025255,             0.00025255,             0.00025255
                    153,                0.97622,                 1.1836,                 1.4371,                0.73423,                0.64452,                0.72257,                0.50221,                 1.1271,                 1.1511,                 1.5499,              0.0002476,              0.0002476,              0.0002476
                    154,                0.98067,                 1.1892,                 1.4432,                 0.7388,                 0.6435,                0.72293,                0.50269,                 1.1266,                 1.1496,                 1.5492,             0.00024265,             0.00024265,             0.00024265
                    155,                 0.9823,                 1.1864,                 1.4442,                0.73867,                0.64379,                0.72356,                0.50305,                 1.1265,                 1.1484,                 1.5486,              0.0002377,              0.0002377,              0.0002377
                    156,                0.97857,                 1.1834,                  1.442,                0.73935,                0.64111,                0.72382,                0.50315,                 1.1265,                 1.1471,                 1.5485,             0.00023275,             0.00023275,             0.00023275
                    157,                 0.9764,                 1.1787,                 1.4384,                0.73897,                0.64139,                0.72396,                0.50324,                 1.1263,                 1.1456,                 1.5481,              0.0002278,              0.0002278,              0.0002278
                    158,                 0.9809,                 1.1776,                 1.4452,                0.73876,                0.64256,                0.72375,                0.50359,                  1.126,                  1.144,                 1.5476,             0.00022285,             0.00022285,             0.00022285
                    159,                0.97219,                 1.1717,                  1.434,                 0.7375,                0.64213,                0.72422,                0.50362,                 1.1257,                 1.1429,                 1.5471,              0.0002179,              0.0002179,              0.0002179
                    160,                0.97494,                 1.1703,                 1.4383,                0.73756,                0.64252,                0.72472,                0.50374,                 1.1254,                 1.1418,                 1.5466,             0.00021295,             0.00021295,             0.00021295
                    161,                0.97437,                 1.1675,                 1.4344,                 0.7361,                0.64552,                0.72512,                0.50445,                 1.1253,                 1.1408,                 1.5463,               0.000208,               0.000208,               0.000208
                    162,                0.97449,                 1.1705,                 1.4372,                0.73553,                0.64565,                0.72542,                0.50457,                 1.1254,                 1.1399,                 1.5461,             0.00020305,             0.00020305,             0.00020305
                    163,                0.97469,                 1.1674,                 1.4363,                0.74863,                0.63575,                0.72594,                0.50502,                 1.1252,                 1.1387,                 1.5457,              0.0001981,              0.0001981,              0.0001981
                    164,                0.96583,                 1.1565,                 1.4323,                0.74128,                0.64099,                0.72642,                0.50548,                 1.1252,                 1.1378,                 1.5456,             0.00019315,             0.00019315,             0.00019315
                    165,                0.97127,                 1.1601,                 1.4349,                0.73936,                 0.6434,                0.72664,                0.50567,                 1.1252,                 1.1368,                 1.5454,              0.0001882,              0.0001882,              0.0001882
                    166,                0.97024,                 1.1634,                 1.4351,                0.75304,                0.63524,                0.72707,                0.50588,                 1.1254,                 1.1358,                 1.5452,             0.00018325,             0.00018325,             0.00018325
                    167,                 0.9713,                 1.1619,                 1.4357,                0.72695,                0.65699,                0.72681,                0.50589,                  1.125,                 1.1352,                 1.5449,              0.0001783,              0.0001783,              0.0001783
                    168,                0.96489,                 1.1578,                   1.43,                0.71632,                0.66608,                0.72681,                0.50623,                 1.1251,                 1.1341,                 1.5447,             0.00017335,             0.00017335,             0.00017335
                    169,                0.96658,                 1.1503,                 1.4293,                0.71711,                0.66524,                0.72709,                0.50611,                 1.1248,                 1.1332,                 1.5443,              0.0001684,              0.0001684,              0.0001684
                    170,                0.96742,                 1.1517,                 1.4295,                0.71686,                0.66528,                0.72726,                0.50634,                  1.125,                 1.1323,                 1.5442,             0.00016345,             0.00016345,             0.00016345
                    171,                0.96473,                 1.1442,                 1.4276,                0.71724,                0.66833,                0.72807,                0.50676,                 1.1248,                 1.1313,                 1.5439,              0.0001585,              0.0001585,              0.0001585
                    172,                0.96365,                 1.1415,                 1.4262,                0.71745,                0.66859,                0.72849,                0.50709,                 1.1246,                 1.1298,                 1.5437,             0.00015355,             0.00015355,             0.00015355
                    173,                0.95927,                 1.1414,                 1.4224,                0.75027,                0.63911,                0.72872,                0.50734,                 1.1243,                 1.1294,                 1.5433,              0.0001486,              0.0001486,              0.0001486
                    174,                0.96281,                  1.142,                 1.4264,                0.74973,                0.63843,                  0.729,                0.50768,                 1.1245,                 1.1286,                 1.5434,             0.00014365,             0.00014365,             0.00014365
                    175,                 0.9592,                 1.1381,                 1.4227,                0.75153,                0.63866,                 0.7292,                0.50801,                 1.1248,                 1.1278,                 1.5436,              0.0001387,              0.0001387,              0.0001387
                    176,                0.95789,                 1.1406,                  1.423,                0.75011,                0.64062,                0.72969,                0.50818,                 1.1244,                 1.1271,                 1.5431,             0.00013375,             0.00013375,             0.00013375
                    177,                 0.9574,                 1.1291,                 1.4221,                0.74834,                0.64356,                 0.7302,                 0.5087,                 1.1242,                 1.1261,                 1.5429,              0.0001288,              0.0001288,              0.0001288
                    178,                0.95731,                 1.1315,                 1.4211,                0.74929,                0.64347,                0.73033,                 0.5083,                 1.1243,                 1.1255,                 1.5428,             0.00012385,             0.00012385,             0.00012385
                    179,                0.95665,                 1.1346,                 1.4227,                0.75088,                0.64503,                 0.7306,                0.50902,                 1.1243,                 1.1249,                 1.5426,              0.0001189,              0.0001189,              0.0001189
                    180,                0.95368,                 1.1323,                 1.4196,                0.75353,                0.64272,                0.73075,                0.50842,                 1.1243,                  1.124,                 1.5425,             0.00011395,             0.00011395,             0.00011395
                    181,                0.95456,                 1.1233,                  1.419,                0.75541,                0.63966,                0.73098,                0.50863,                 1.1243,                 1.1232,                 1.5425,               0.000109,               0.000109,               0.000109
                    182,                0.95991,                 1.1322,                 1.4243,                0.74246,                0.65076,                0.73138,                0.50843,                 1.1244,                 1.1224,                 1.5425,             0.00010405,             0.00010405,             0.00010405
                    183,                0.95231,                 1.1279,                 1.4179,                0.74704,                0.64904,                0.73138,                0.50855,                 1.1244,                 1.1217,                 1.5426,               9.91e-05,               9.91e-05,               9.91e-05
                    184,                0.95532,                  1.123,                 1.4191,                0.74266,                 0.6526,                0.73179,                 0.5089,                 1.1242,                  1.121,                 1.5423,              9.415e-05,              9.415e-05,              9.415e-05
                    185,                0.95327,                 1.1272,                 1.4196,                0.74301,                0.65332,                0.73171,                0.50898,                  1.124,                 1.1203,                 1.5422,               8.92e-05,               8.92e-05,               8.92e-05
                    186,                0.95058,                 1.1228,                 1.4181,                 0.7543,                0.64576,                0.73205,                0.50944,                 1.1243,                 1.1196,                 1.5422,              8.425e-05,              8.425e-05,              8.425e-05
                    187,                0.94988,                  1.128,                 1.4167,                0.75831,                0.64132,                0.73207,                0.50938,                 1.1243,                 1.1192,                 1.5421,               7.93e-05,               7.93e-05,               7.93e-05
                    188,                0.95005,                 1.1188,                 1.4151,                0.75859,                0.64081,                0.73186,                0.50943,                 1.1245,                 1.1185,                 1.5423,              7.435e-05,              7.435e-05,              7.435e-05
                    189,                0.95053,                 1.1162,                 1.4131,                0.75882,                 0.6412,                0.73163,                0.50951,                 1.1246,                  1.118,                 1.5425,               6.94e-05,               6.94e-05,               6.94e-05
                    190,                 0.9514,                 1.1209,                 1.4166,                0.75997,                 0.6406,                0.73184,                 0.5095,                 1.1243,                 1.1175,                 1.5423,              6.445e-05,              6.445e-05,              6.445e-05
                    191,                0.89131,                0.91658,                   1.36,                0.75369,                0.64531,                 0.7322,                0.50926,                 1.1246,                 1.1167,                 1.5424,               5.95e-05,               5.95e-05,               5.95e-05
                    192,                0.87714,                0.88988,                 1.3488,                0.75261,                0.64654,                0.73235,                0.50971,                 1.1243,                 1.1159,                 1.5425,              5.455e-05,              5.455e-05,              5.455e-05
                    193,                0.87246,                0.88978,                 1.3457,                0.75119,                0.64835,                0.73286,                0.51005,                 1.1243,                 1.1148,                 1.5426,               4.96e-05,               4.96e-05,               4.96e-05
                    194,                0.87212,                0.88219,                 1.3469,                0.75007,                0.65015,                 0.7327,                 0.5103,                 1.1242,                 1.1138,                 1.5426,              4.465e-05,              4.465e-05,              4.465e-05
                    195,                 0.8641,                 0.8718,                 1.3404,                0.75193,                0.64821,                0.73292,                0.51035,                  1.124,                 1.1128,                 1.5428,               3.97e-05,               3.97e-05,               3.97e-05
                    196,                0.86801,                0.87042,                 1.3443,                0.75895,                0.64424,                0.73348,                0.51035,                 1.1242,                 1.1119,                 1.5431,              3.475e-05,              3.475e-05,              3.475e-05
                    197,                0.86658,                 0.8708,                 1.3421,                0.75571,                0.64701,                 0.7339,                0.51082,                 1.1243,                 1.1114,                 1.5433,               2.98e-05,               2.98e-05,               2.98e-05
                    198,                0.86151,                0.86426,                 1.3357,                0.75695,                0.64603,                0.73416,                0.51096,                 1.1242,                 1.1104,                 1.5434,              2.485e-05,              2.485e-05,              2.485e-05
                    199,                0.86184,                0.86323,                 1.3379,                0.76105,                0.64178,                0.73455,                0.51111,                 1.1241,                 1.1097,                 1.5435,               1.99e-05,               1.99e-05,               1.99e-05
                    200,                0.85787,                0.85641,                  1.332,                0.76233,                0.64076,                0.73478,                0.51119,                 1.1241,                 1.1089,                 1.5434,              1.495e-05,              1.495e-05,              1.495e-05
